filepath,shadow_path,u,v,wsky1,wsky2,wsky3,wsun1,wsun2,wsun3,kappa,beta,turbidity,elevation,fov,mode
./pano/9C4A0001_a.jpg,./shadow/9C4A0001_a.jpg,265.0248,29.896200000000004,0.54405,0.5311100000000001,0.52057,0.00549,0.00509,0.00477,0.41456000000000004,2.19359,17.65125,17.97,64.73,0.06
./pano/9C4A0001_b.jpg,./shadow/9C4A0001_b.jpg,265.0248,29.896200000000004,0.54405,0.5311100000000001,0.52057,0.00549,0.00509,0.00477,0.41456000000000004,2.19359,17.65125,-2.78,82.5,0.71
./pano/9C4A0001_c.jpg,./shadow/9C4A0001_c.jpg,265.0248,29.896200000000004,0.54405,0.5311100000000001,0.52057,0.00549,0.00509,0.00477,0.41456000000000004,2.19359,17.65125,3.03,84.47,0.09
./pano/9C4A0001_d.jpg,./shadow/9C4A0001_d.jpg,265.0248,29.896200000000004,0.54405,0.5311100000000001,0.52057,0.00549,0.00509,0.00477,0.41456000000000004,2.19359,17.65125,10.52,83.26,0.53
./pano/9C4A0001_e.jpg,./shadow/9C4A0001_e.jpg,265.0248,29.896200000000004,0.54405,0.5311100000000001,0.52057,0.00549,0.00509,0.00477,0.41456000000000004,2.19359,17.65125,-8.45,74.87,0.1
./pano/9C4A0001_f.jpg,./shadow/9C4A0001_f.jpg,265.0248,29.896200000000004,0.54405,0.5311100000000001,0.52057,0.00549,0.00509,0.00477,0.41456000000000004,2.19359,17.65125,-4.19,80.4,0.61
./pano/9C4A0001_g.jpg,./shadow/9C4A0001_g.jpg,265.0248,29.896200000000004,0.54405,0.5311100000000001,0.52057,0.00549,0.00509,0.00477,0.41456000000000004,2.19359,17.65125,18.88,79.01,0.5
./pano/9C4A0006_a.jpg,./shadow/9C4A0006_a.jpg,358.18199999999996,33.5232,0.57382,0.5595100000000001,0.5482600000000001,0.0039,0.0036,0.00338,0.45083999999999996,1.6615799999999998,18.32312,1.62,79.3,0.06
./pano/9C4A0006_b.jpg,./shadow/9C4A0006_b.jpg,358.18199999999996,33.5232,0.57382,0.5595100000000001,0.5482600000000001,0.0039,0.0036,0.00338,0.45083999999999996,1.6615799999999998,18.32312,11.3,68.93,0.13
./pano/9C4A0006_c.jpg,./shadow/9C4A0006_c.jpg,358.18199999999996,33.5232,0.57382,0.5595100000000001,0.5482600000000001,0.0039,0.0036,0.00338,0.45083999999999996,1.6615799999999998,18.32312,-2.2,97.46,0.69
./pano/9C4A0006_d.jpg,./shadow/9C4A0006_d.jpg,358.18199999999996,33.5232,0.57382,0.5595100000000001,0.5482600000000001,0.0039,0.0036,0.00338,0.45083999999999996,1.6615799999999998,18.32312,-4.28,64.68,0.78
./pano/9C4A0006_e.jpg,./shadow/9C4A0006_e.jpg,358.18199999999996,33.5232,0.57382,0.5595100000000001,0.5482600000000001,0.0039,0.0036,0.00338,0.45083999999999996,1.6615799999999998,18.32312,11.45,71.45,0.55
./pano/9C4A0006_f.jpg,./shadow/9C4A0006_f.jpg,358.18199999999996,33.5232,0.57382,0.5595100000000001,0.5482600000000001,0.0039,0.0036,0.00338,0.45083999999999996,1.6615799999999998,18.32312,-19.54,78.94,0.16
./pano/9C4A0006_g.jpg,./shadow/9C4A0006_g.jpg,358.18199999999996,33.5232,0.57382,0.5595100000000001,0.5482600000000001,0.0039,0.0036,0.00338,0.45083999999999996,1.6615799999999998,18.32312,-0.25,96.87,0.57
./pano/9C4A0048_a.jpg,./shadow/9C4A0048_a.jpg,258.8832,30.9132,0.51037,0.50183,0.49432,0.024,0.0223,0.02067,0.28031,4.84624,16.38598,14.93,89.89,0.93
